Date,Title,Description
2023-11-22,NVIDIA 545.29.06 Linux Driver Released With Source 2 Engine Fix On XWayland,Ahead of the US Thanksgiving holiday extended weekend NVIDIA Linux engineers published their 545.29.06 Linux driver as the latest bug-fix release in the R545 series.
2023-11-08,NVIDIA Pushes 62MB Of GSP Binary Firmware Blobs Into Linux-Firmware.Git,As mentioned last week merged for the Linux 6.7 kernel is NVIDIA GSP firmware support in the Nouveau driver so that these NVIDIA firmware blobs can handle hardware initialization and power management related tasks. This support is optional right now for the GeForce RTX 20 / RTX 30 series hardware with Nouveau but necessary if wanting better performance via re-clocking the GPUs. The GSP firmware is a mandatory requirement for Nouveau with the NVIDIA RTX 40 GPUs and moving forward.
2023-11-06,NVIDIA-VAAPI-Driver 0.0.11 Delivers Various Fixes,The NVIDIA-VAAPI-Driver is an open-source independently-developed project that implements the Video Acceleration API (VA-API) atop NVIDIA's NVDEC interface so that software like Mozilla Firefox can enjoy video hardware acceleration on Linux using NVIDIA's proprietary driver.
2023-10-31,NVIDIA 545.29.02 Linux Driver Released With Much Better Wayland Support,Earlier this month NVIDIA published the R545 Linux driver beta while today it's been promoted to the stable series with the NVIDIA 545.29.02 Linux driver release.
2023-10-17,NVIDIA R545 Linux Beta Driver Brings HDMI Deep Color, Night Color & FB Consoles NVIDIA today published their first R545 Linux driver beta series with a number of shiny new features.
2023-09-20,NVIDIA Preparing Their Linux InfiniBand Driver For 800Gb/s XDR,NVIDIA's latest patches intended for the upstream Linux kernel are over on the networking side of the house with their Mellanox wares as they prepare 800Gb/s (XDR) support within the RDMA/InfiniBand code.
2023-08-29,Linux 6.6 To Better Protect Against The Illicit Behavior Of NVIDIA's Proprietary Driver,The Linux 6.6 modules infrastructure is changing to better protect against the illicit behavior of NVIDIA's proprietary kernel driver.
2023-08-22,NVIDIA 535.104.05 Fixes An Issue Using The Open Kernel Driver With SLI,While we are waiting on NVIDIA to roll out a beta of their next post-R535 Linux driver release stream available today is the NVIDIA 535.104.05 Linux driver as their latest in this production driver branch.
2023-08-21,NVIDIA BIOS Signature Lock Broken - What Caused Open-Source Pains For Years,New (Windows) tools have been released that break the NVIDIA BIOS Signature Lock the "security" functionality in use since the GeForce GTX 900 days around signed firmware/BIOS handling. This authentication mechanism is what in turn has led to the GeForce GTX 700 series still being the best supported series by the open-source Nouveau driver while the GTX 900 series and later have been crippled to their low boot clock speeds due to PMU/re-clocking restrictions. While Nouveau developers have been working on the GPU System Processor (GSP) approach for RTX 20 "Turing" GPUs and newer to workaround this limitation as NVIDIA's blessed path forward the NVIDIA BIOS Signature Lock has now been broken by Windows modders.
2023-08-08,NVIDIA 535.98 Linux Driver Released With Several Fixes,NVIDIA today rolled out a new stable point release in their R535 series for Linux users to provide a handful of bug fixes.
2023-07-19,Mesa Lands Initial Open-Source Support For NVIDIA GeForce RTX 40 GPUs,While not too useful as limited to OpenGL-only and will perform extremely slowly until the NVIDIA GSP firmware support is sorted out for the Nouveau DRM kernel driver merged today for Mesa 23.3-devel and marked for back-porting to Mesa 23.2 is initial NVIDIA GeForce RTX 40 "Ada Lovelace" GPU support.
2023-07-18,NVIDIA 535.86.05 Linux Driver Fixes Excessive Memory Use, Kernel Panic On Full vRAM NVIDIA today published their latest stable point release in the R535 Linux driver series to fix a variety of outstanding issues.
2023-06-28,NVIDIA CUDA 12.2 Released With Linux HMM Support,NVIDIA CUDA 12.2 is out today and while it's just an update to the CUDA 12 series it's actually quite an exciting release.
